user_name,rating,date,review_text,likes,app_version,sentiment,sentiment_encoded,review_clean,review_tokens
Pengguna Google,1,2026-01-30 01:46:49,suruh bayar pajak mau cek spt gk bisa emang aplikasi pemerintah sangat merugikan dan pasti uangnya dikorupsi yaaa,0,2.0.6,Negatif,0,suruh bayar pajak mau cek spt tidak emang aplikasi perintah sangat rugi pasti uang korupsi yaaa,"['suruh', 'bayar', 'pajak', 'mau', 'cek', 'spt', 'tidak', 'emang', 'aplikasi', 'perintah', 'sangat', 'rugi', 'pasti', 'uang', 'korupsi', 'yaaa']"
Pengguna Google,1,2022-06-09 06:13:59,Astagaa... Sekelas negara buat aplikasi kalah ama soppee,0,1.1.0,Negatif,0,astagaa kelas negara aplikasi kalah ama soppee,"['astagaa', 'kelas', 'negara', 'aplikasi', 'kalah', 'ama', 'soppee']"
Pengguna Google,1,2023-02-03 20:07:40,Tidak lengkap dan ribet. Gak jelas ni aplikasi,0,1.1.0,Negatif,0,tidak lengkap ribet tidak jelas ni aplikasi,"['tidak', 'lengkap', 'ribet', 'tidak', 'jelas', 'ni', 'aplikasi']"
Pengguna Google,2,2023-03-02 10:13:15,"Gangguan server mulu, selalu struggle",0,unknown,Negatif,0,ganggu server mulu selalu struggle,"['ganggu', 'server', 'mulu', 'selalu', 'struggle']"
Pengguna Google,1,2024-04-02 20:19:46,"Beginilah kalau aplikasi plat merah. Boro2 membantu, masuk aplikasi aja susahnye minta ampun. Pajak ooh pajak, kami tuh mau membayar upeti harusnya bisa dipermudah.",2,1.4.0,Negatif,0,begini aplikasi plat merah boro bantu masuk aplikasi saja susahnye minta ampun pajak ooh pajak tuh mau bayar upeti harus mudah,"['begini', 'aplikasi', 'plat', 'merah', 'boro', 'bantu', 'masuk', 'aplikasi', 'saja', 'susahnye', 'minta', 'ampun', 'pajak', 'ooh', 'pajak', 'tuh', 'mau', 'bayar', 'upeti', 'harus', 'mudah']"
Pengguna Google,1,2024-11-30 08:52:24,"Ini app milik pemerintah lhoooo boosssss, senggol dong!",0,1.4.0,Negatif,0,aplikasi milik perintah lhoooo boosssss senggol,"['aplikasi', 'milik', 'perintah', 'lhoooo', 'boosssss', 'senggol']"
Lee hyeun soo,1,2026-02-16 11:32:14,ampassss ..,0,3.0.6,Negatif,0,ampassss,['ampassss']
Alim Lokal,1,2023-11-21 12:33:23,proses login sangat lama & akhirnya tidak bisa login.,0,unknown,Negatif,0,proses login sangat lama akhir tidak login,"['proses', 'login', 'sangat', 'lama', 'akhir', 'tidak', 'login']"
Pengguna Google,1,2026-03-08 05:18:34,"Jelek selalu gagal login, error tidak jelas, bahasanya juga teknis sekali. orang non pajak kesulitan akses. ID pengguna tulis saja NIK, seperti ini saja dipersulit.",10,3.0.6,Negatif,0,jelek selalu gagal login error tidak jelas bahasa teknis sekali orang non pajak sulit akses id guna tulis saja nik seperti saja sulit,"['jelek', 'selalu', 'gagal', 'login', 'error', 'tidak', 'jelas', 'bahasa', 'teknis', 'sekali', 'orang', 'non', 'pajak', 'sulit', 'akses', 'id', 'guna', 'tulis', 'saja', 'nik', 'seperti', 'saja', 'sulit']"
Pengguna Google,1,2022-09-05 11:31:15,Aplikasi apaan gk bisa di pake.,0,1.1.0,Negatif,0,aplikasi apa tidak pakai,"['aplikasi', 'apa', 'tidak', 'pakai']"
Pengguna Google,1,2023-12-22 18:18:56,"Ribet jga yaa, pdhal mau laporan pajak",0,unknown,Negatif,0,ribet pdhal mau lapor pajak,"['ribet', 'pdhal', 'mau', 'lapor', 'pajak']"
Pengguna Google,1,2022-01-11 19:53:36,"Capsah salah terus padahal sudah benar ditulisnya. Orang mau buat malah dipersulit dengan capsah"" begitu.",4,1.1.0,Negatif,0,capsah salah terus padahal benar tulis orang mau malah sulit capsah begitu,"['capsah', 'salah', 'terus', 'padahal', 'benar', 'tulis', 'orang', 'mau', 'malah', 'sulit', 'capsah', 'begitu']"
Rizal Hermawan,2,2023-12-21 18:49:01,Masih kurang 1 angka di belakang. Jadi NIK belum bisa pakai m-pajak,0,1.2.4,Negatif,0,masih kurang angka belakang jadi nik belum pakai pajak,"['masih', 'kurang', 'angka', 'belakang', 'jadi', 'nik', 'belum', 'pakai', 'pajak']"
Pengguna Google,1,2024-07-18 20:50:53,Masak mau login nggk bisa,0,1.4.0,Negatif,0,masak mau login nggk,"['masak', 'mau', 'login', 'nggk']"
Pengguna Google,1,2024-11-06 15:53:40,Mohon maaf untuk pendaftaran sangat ribet dan bermasalah. Jika tidak di perbaiki saya akan berikan rating yg buruk. Buat perpajakan jangan ribet,0,1.4.0,Negatif,0,mohon maaf daftar sangat ribet masalah jika tidak baik ikan rating buruk paja jangan ribet,"['mohon', 'maaf', 'daftar', 'sangat', 'ribet', 'masalah', 'jika', 'tidak', 'baik', 'ikan', 'rating', 'buruk', 'paja', 'jangan', 'ribet']"
Pengguna Google,1,2025-01-03 09:25:38,Apk Lol,0,unknown,Negatif,0,aplikasi lol,"['aplikasi', 'lol']"
