user_name,rating,date,review_text,likes,app_version,word_count,char_count,year_month,is_duplicate,sentiment,sentiment_encoded,review_clean,review_tokens
Pengguna Google,5,2023-11-20 08:06:30,𝕊𝕒𝕟𝕪𝕒𝕥 𝕞𝕖𝕟𝕕,0,1.2.4,2,11,2023-11,False,Positif,2,,[]
Pengguna Google,5,2026-03-11 10:59:21,terimakasih dengan adanya aplikasi ini memudahkan saya untuk mengisi SPT Tampa harus ke kantor pajak,1,2.0.6,15,100,2026-03,False,Positif,2,terimakasih adanya aplikasi memudahkan mengisi spt tampa harus kantor pajak,"['terimakasih', 'adanya', 'aplikasi', 'memudahkan', 'mengisi', 'spt', 'tampa', 'harus', 'kantor', 'pajak']"
Pengguna Google,3,2021-12-18 16:41:47,Nunggu kode verifikasi ga msk2 pdh udh dicoba berkali2 tp ga da emai yg msk udh d cek d folder laen ga da jg.....,0,1.0,24,113,2021-12,False,Netral,1,nunggu kode verifikasi tidak msk pdh dicoba berkali tapi tidak da emai msk cek folder laen tidak da,"['nunggu', 'kode', 'verifikasi', 'tidak', 'msk', 'pdh', 'dicoba', 'berkali', 'tapi', 'tidak', 'da', 'emai', 'msk', 'cek', 'folder', 'laen', 'tidak', 'da']"
Pengguna Google,3,2024-10-07 16:42:59,Mau daftar tapi tidak bisa,0,1.4.0,5,26,2024-10,False,Netral,1,mau daftar tapi tidak,"['mau', 'daftar', 'tapi', 'tidak']"
Pengguna Google,1,2025-11-25 09:23:30,"sangat amat tidak membantu, mending dana buat bikin ni aplikasi buat hal lain yang lebih merakyat lagi",0,2.0.6,17,102,2025-11,False,Negatif,0,sangat amat tidak membantu mending dana bikin ni aplikasi hal lain merakyat lagi,"['sangat', 'amat', 'tidak', 'membantu', 'mending', 'dana', 'bikin', 'ni', 'aplikasi', 'hal', 'lain', 'merakyat', 'lagi']"
Pengguna Google,5,2022-01-07 20:46:00,👍,0,1.0,1,1,2022-01,True,Positif,2,,[]
Pengguna Google,1,2026-01-04 23:20:00,kaga bisa daftar,1,2.0.6,3,16,2026-01,False,Negatif,0,tidak daftar,"['tidak', 'daftar']"
Pengguna Google,1,2025-03-07 13:20:14,"Kok minta kode efin aja lama,sudah lama nunggu malah eror,,jadi ulangi lagi Hadehhhhhh",0,2.0.3,13,86,2025-03,False,Negatif,0,kok minta kode efin saja lama lama nunggu malah eror jadi ulangi lagi hadehhhhhh,"['kok', 'minta', 'kode', 'efin', 'saja', 'lama', 'lama', 'nunggu', 'malah', 'eror', 'jadi', 'ulangi', 'lagi', 'hadehhhhhh']"
Pengguna Google,3,2025-02-08 12:26:04,Alangkah baiknya lapor SPT bisa diaplikasi ini juga,1,2.0.3,8,51,2025-02,False,Netral,1,alangkah baiknya lapor spt diaplikasi,"['alangkah', 'baiknya', 'lapor', 'spt', 'diaplikasi']"
Pengguna Google,1,2024-03-22 12:01:00,"Aplikasi dibawah naungan pemerintah seperti ini kualitasnya? Ckckck tidak heran. Baru buka apps sudah eror. Baru buka Live Chat Pajak, padahal jaringan bagus, sinyal oke. Tiba-tiba chat berakhir. Baru buka loh? Ckckck aplikasi tidak berguna.",130,1.4.0,35,241,2024-03,False,Negatif,0,aplikasi dibawah naungan pemerintah seperti kualitasnya ckckck tidak heran baru buka apps eror baru buka live chat pajak padahal jaringan bagus sinyal oke tiba tiba chat berakhir baru buka ckckck aplikasi tidak berguna,"['aplikasi', 'dibawah', 'naungan', 'pemerintah', 'seperti', 'kualitasnya', 'ckckck', 'tidak', 'heran', 'baru', 'buka', 'apps', 'eror', 'baru', 'buka', 'live', 'chat', 'pajak', 'padahal', 'jaringan', 'bagus', 'sinyal', 'oke', 'tiba', 'tiba', 'chat', 'berakhir', 'baru', 'buka', 'ckckck', 'aplikasi', 'tidak', 'berguna']"
