user_name,rating,date,review_text,likes,app_version,word_count,char_count,year_month,is_duplicate,sentiment,year,sentiment_encoded,review_clean,review_tokens
Pengguna Google,1,2024-03-16 05:41:57,Apk layanan publik yg sangat burik,0,1.4.0,6,34,2024-03,False,Negatif,2024,0,aplikasi layan publik burik,"['aplikasi', 'layan', 'publik', 'burik']"
Pengguna Google,5,2024-02-16 14:46:08,Suka,0,1.3.0,1,4,2024-02,False,Positif,2024,2,suka,['suka']
Pengguna Google,1,2026-01-10 22:47:50,gajelas,0,2.0.6,1,7,2026-01,True,Negatif,2026,0,gajelas,['gajelas']
Pengguna Google,5,2025-03-10 07:42:42,Cocok banget.......,0,2.0.3,2,19,2025-03,False,Positif,2025,2,cocok,['cocok']
Pengguna Google,5,2026-01-07 00:16:27,Terbaik,0,2.0.6,1,7,2026-01,True,Positif,2026,2,baik,['baik']
Pengguna Google,1,2024-11-03 15:27:29,Kebanyakan chapcha,0,unknown,2,18,2024-11,False,Negatif,2024,0,banyak chapcha,"['banyak', 'chapcha']"
Pengguna Google,5,2025-02-13 12:33:08,Mantap. Sangat berguna.,0,2.0.3,3,23,2025-02,False,Positif,2025,2,mantap guna,"['mantap', 'guna']"
Pengguna Google,1,2025-05-07 22:01:37,"Ribetnya buat NPWP, nggak usah bayar pajak, toh penghasilanku di bawah batas PTKP",0,unknown,13,81,2025-05,False,Negatif,2025,0,ribetnya npwp tidak bayar pajak hasil batas ptkp,"['ribetnya', 'npwp', 'tidak', 'bayar', 'pajak', 'hasil', 'batas', 'ptkp']"
Agung Pratama Putra,4,2024-01-29 15:26:45,Tidak menerima kode verifikasi setelah login. Semua email sudah dicek termasuk di bagian spam,2,1.2.5,14,93,2024-01,False,Positif,2024,2,tidak terima kode verifikasi login email cek spam,"['tidak', 'terima', 'kode', 'verifikasi', 'login', 'email', 'cek', 'spam']"
Pengguna Google,5,2025-08-23 18:10:46,ok,0,2.0.5,1,2,2025-08,True,Positif,2025,2,ok,['ok']
