Rank,feature_extractor,model,weighted_f1,macro_f1,roc_auc,accuracy,train_time_s,infer_time_ms,best_params
1,GloVe,Random Forest,0.7166530239006511,0.7163892637576849,0.8645171561005228,0.7131147540983607,3.25,671.04,"{'n_estimators': 500, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}"
2,GloVe,XGBoost,0.6911451912161419,0.6910833953834699,0.8567758081952405,0.6885245901639344,103.67,29.59,"{'subsample': 0.8, 'reg_alpha': 1.0, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
3,Word2Vec,XGBoost,0.6391580721834733,0.6394426187784923,0.8050600747355379,0.639344262295082,23.36,7.05,"{'subsample': 0.7, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.8}"
4,IndoBERT,XGBoost,0.6301762351335202,0.6297868224983912,0.818430652430386,0.6311475409836066,212.81,176.46,"{'subsample': 0.7, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.8}"
5,IndoBERT,Random Forest,0.6299737234891006,0.6293801324470466,0.8259165469614623,0.6311475409836066,4.43,574.93,"{'n_estimators': 500, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}"
6,Word2Vec,Random Forest,0.618077223323125,0.6184126984126984,0.8155392164122006,0.6229508196721312,2.51,315.01,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
7,GloVe,Decision Tree,0.5757741347905282,0.5753839205058717,0.6680920224502792,0.5737704918032787,0.27,0.88,"{'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini'}"
8,Word2Vec,Decision Tree,0.5737545134303285,0.5736573039943828,0.7227275756364121,0.5737704918032787,0.05,1.69,"{'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini'}"
9,IndoBERT,Decision Tree,0.5686610511968644,0.5688097948598095,0.743848139756443,0.5655737704918032,0.3,1.24,"{'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini'}"
10,FastText,XGBoost,0.5215850934319854,0.5219658735880798,0.724349766266333,0.5245901639344263,22.15,5.8,"{'subsample': 0.7, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.8}"
11,FastText,Random Forest,0.511704008832234,0.51139030371628,0.6695544004620375,0.5081967213114754,2.46,185.98,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10}"
12,FastText,Decision Tree,0.5064270348744795,0.5057530704589528,0.6416371722915772,0.5,0.07,0.77,"{'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini'}"
