Rank,feature_extractor,model,weighted_f1,macro_f1,roc_auc,accuracy,train_time_s,infer_time_ms,best_params
1,TF-IDF,Logistic Regression,0.9060390355912745,0.9060390355912744,,0.906060606060606,2.89,0.29,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 1}"
2,Word2Vec,XGBoost,0.9030267411107846,0.9030267411107846,,0.9030303030303031,123.53,3.53,"{'subsample': 0.8, 'reg_alpha': 1.0, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
3,TF-IDF,XGBoost,0.9029411764705884,0.9029411764705882,,0.9030303030303031,5.94,9.15,"{'subsample': 0.8, 'reg_alpha': 1.0, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
4,Word2Vec,Random Forest,0.9029019088602007,0.9029019088602008,,0.9030303030303031,15.1,98.08,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
5,TF-IDF,Random Forest,0.8939306278755821,0.8939306278755821,,0.8939393939393939,5.7,87.77,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
6,GloVe,XGBoost,0.8908930605047574,0.8908930605047574,,0.8909090909090909,403.71,7.08,"{'subsample': 0.7, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}"
7,FastText,Random Forest,0.8908730158730159,0.8908730158730158,,0.8909090909090909,16.54,79.57,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}"
8,Word2Vec,Logistic Regression,0.8818084139185058,0.8818084139185056,,0.8818181818181818,9.67,0.58,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 1}"
9,FastText,XGBoost,0.8726524311808592,0.8726524311808592,,0.8727272727272727,127.03,4.23,"{'subsample': 0.7, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.8}"
10,GloVe,Logistic Regression,0.8725587553790137,0.8725587553790135,,0.8727272727272727,36.34,3.35,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 1}"
11,GloVe,Random Forest,0.8721590909090909,0.8721590909090909,,0.8727272727272727,26.7,192.71,"{'n_estimators': 500, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}"
12,Word2Vec,Decision Tree,0.8696957731475955,0.8696957731475954,,0.8696969696969697,0.88,2.54,"{'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini'}"
13,TF-IDF,Decision Tree,0.8665882612370907,0.8665882612370907,,0.8666666666666667,0.12,0.5,"{'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini'}"
14,FastText,Logistic Regression,0.8515028790258148,0.8515028790258148,,0.8515151515151516,13.02,0.44,"{'solver': 'saga', 'penalty': 'l2', 'C': 10}"
15,FastText,Decision Tree,0.8332950631458096,0.8332950631458094,,0.8333333333333334,0.9,0.56,"{'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini'}"
16,GloVe,Decision Tree,0.817853988813659,0.8178539888136591,,0.8181818181818182,2.37,1.08,"{'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini'}"
